title,artist,image_url
Louis Gueymard (1822–1880) as Robert le Diable,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436015/796208/main-image
"Jo, La Belle Irlandaise",Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436001/2065085/main-image
After the Hunt,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436007/796196/main-image
Young Ladies of the Village,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/438820/796200/main-image
The Source of the Loue,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436023/796197/main-image
Woman in a Riding Habit (L'Amazone),Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436024/796283/main-image
Marine: The Waterspout,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436006/796198/main-image
Woman with a Parrot,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436002/1911933/main-image
The Young Bather,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436003/1819005/main-image
"Madame Frederic Breyer (Fanny Hélène Van Bruyssel, 1830–1894)",Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436000/1890224/main-image
Alphonse Promayet (1822–1872),Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436008/796191/main-image
"Madame Auguste Cuoq (Mathilde Desportes, 1827–1910)",Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436016/796193/main-image
The Woman in the Waves,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436004/796628/main-image
The Calm Sea,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436005/796206/main-image
Monsieur Suisse,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436017/796195/main-image
Hunting Dogs with Dead Hare,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436014/796194/main-image
The Fishing Boat,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436012/1857523/main-image
Portrait of a Man,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436019/796201/main-image
The Source,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436022/794471/main-image
Study of a Nude Man,Attributed toGustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/848137/2114874/main-image
A Brook in the Forest,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436010/1293315/main-image
View of Ornans,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436025/2114873/main-image
The Sea,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436021/2115447/main-image
River and Rocks,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436020/1293306/main-image
Nude with Flowering Branch,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436018/1702338/main-image
The Deer,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436011/796730/main-image
The Hidden Brook,Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436013/851091/main-image
"A Brook in a Clearing (possibly ""Brook, Valley of Fontcouverte; Study"")",Gustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436009/1293331/main-image
Apples,Style ofGustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436027/798254/main-image
Spring Flowers,Copy afterGustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436026/798253/main-image
"Portrait of a Woman, Called Héloïse Abélard",Style ofGustave Courbet,https://collectionapi.metmuseum.org/api/collection/v1/iiif/436028/2060286/main-image
